filename,y,void_pixels,void_pixels.1,void_ratio_2d,void_connectivity,num_void_components,largest_void_area,fractal_dimension,void_aspect_ratio_mean,void_aspect_ratio_median,void_aspect_ratio_max,valid_void_regions_for_ar,gray_mean,gray_std,grad_mean,grad_std,dark_ratio,lap_var
1.png,2.93757256,2406716,2406716,0.2919836008871428,0.8974968380149548,549,2160020,1.4943201359026896,4.921265289894897,4.323143981655872,17.27171844526357,549,148.79617309570312,29.93671226501465,37.28733444213867,62.14752197265625,0.020565199385865134,414.965576171875
2.png,4.07514476,2904320,958955,0.3316978260493592,0.8748116439248974,323,838905,1.5322669621478358,4.468289432523771,3.834337352181457,16.893567121500457,323,148.3774871826172,34.782135009765625,49.05507278442383,74.39801788330078,0.03556793216177358,343.1867980957031
3.png,4.23004294,2904320,2729435,0.3098453358737585,0.8425641204131991,560,2299724,1.507481129085671,4.383602455356495,3.8662050983779936,22.867130276526108,560,158.9273223876953,38.498416900634766,46.11988067626953,68.09416961669922,0.03662456563289126,353.302978515625
4.png,4.46518225,2192926,2560425,0.3071980759154812,0.8521772752570375,569,2181936,1.534218776807277,5.080039491124068,4.297158816950191,22.948682267839523,569,149.0700225830078,36.35356521606445,49.35588836669922,76.27783203125,0.04065661860435633,509.0990905761719
5.png,4.55674514,2664829,1629569,0.3071222198558971,0.8868792913954548,461,1445231,1.5525349183718595,4.943210384254527,4.236589448291954,18.39804827288389,461,149.29074096679688,36.44773483276367,63.092464447021484,69.99574279785156,0.0329051469612655,373.1283264160156
6.png,2.8806175,2359308,2420493,0.3017986779421622,0.8650184074070861,1074,2093771,1.57238197521292,4.838703848238342,4.28006789972052,21.94853738129477,1074,149.95697021484375,36.9848518371582,55.356414794921875,87.26714324951172,0.037439493003418124,490.2917175292969
7.png,3.80488821,2546118,2589047,0.3099878820764764,0.8636069565365171,1000,2235919,1.58098397052672,4.248229353247737,3.660435127003624,19.69876972037829,1000,150.58612060546875,38.66436004638672,51.93257522583008,74.45733642578125,0.04003289011657849,347.7419128417969
8.png,4.25507529,3001649,2390118,0.3090418997458094,0.8456402570919093,1049,2021180,1.590241687905812,4.137639641500177,3.62299102628281,18.289505212341155,1049,158.9828338623047,41.14458084106445,68.39358520507812,85.53561401367188,0.0373303209123633,437.44488525390625
9.png,4.1632831,909685,2678813,0.329108314662289,0.7938441391765682,1167,2126560,1.6477735576387005,3.836977566291885,3.3885581494247083,13.845571789025133,1167,160.06895446777344,46.72258377075195,79.20663452148438,97.98499298095703,0.05483356173193548,620.6683959960938
10.png,4.35204435,894250,2904320,0.3380748224749821,0.7723212318201851,1093,2243068,1.6249458710861235,3.438802985061983,2.9414411287120603,16.859383612533822,1093,153.57164001464844,47.590450286865234,68.74131774902344,85.5345687866211,0.06097320040968534,510.6648254394531
11.png,3.04836088,894250,2192926,0.2872514349629934,0.91089530608876,1086,1997526,1.5461974513647971,4.995550503180385,4.41458462028768,19.613828517835827,1086,165.6417694091797,33.72573471069336,66.08533477783203,82.4722671508789,0.01949219136033009,443.57904052734375
12.png,3.95340116,1737594,2664829,0.3083008237308529,0.8481624899759046,1071,2260208,1.5934346674658226,4.334118238253859,3.8107139100331455,17.840306915382453,1071,163.17176818847656,41.383750915527344,73.30535125732422,91.58793640136719,0.040860998431185326,460.4019775390625
13.png,4.19788024,2192926,2359308,0.2968892609202667,0.8818280614485264,1000,2080504,1.5692578857457435,4.635513569090788,4.051418472472269,20.139655292798388,1000,162.9236602783203,37.46754837036133,74.32098388671875,90.59712982177734,0.0296779404817493,548.7386474609375
14.png,4.27674096,2638212,2546118,0.3046367853287214,0.8609365316140101,981,2192046,1.5893789683269404,4.671359833757433,4.07342376833704,18.939026010868417,981,159.79026794433594,39.65495681762695,74.01641845703125,91.48452758789062,0.03610178399749176,554.772216796875
15.png,4.43097639,2593061,3001649,0.337328783095267,0.7747714672834832,1225,2325592,1.6480505645286876,3.944700971441201,3.361898600573216,25.127415407829098,1225,154.31222534179688,48.72465896606445,83.17007446289062,105.30708312988281,0.06858565537927098,821.5338134765625
16.png,3.1030982,1654559,909685,0.309110710147439,0.8620511495737535,676,784195,1.5808807319726417,4.530227266931571,3.92590784231636,16.031245226847407,676,152.84109497070312,37.673545837402344,72.44271850585938,104.2229232788086,0.04188689327703668,854.0053100585938
17.png,4.09496033,415285,894250,0.2979343661502582,0.8989331842325972,587,803871,1.5063771712538587,5.198532804945905,4.511322387246487,18.84157002372728,587,153.96920776367188,32.827842712402344,62.37028884887695,92.85980224609375,0.028754530966033323,597.9570922851562
18.png,4.20479148,156031,894250,0.2979343661502582,0.8989331842325972,587,803871,1.5063771712538587,5.198532804945905,4.511322387246487,18.84157002372728,587,153.96920776367188,32.827842712402344,62.37028884887695,92.85980224609375,0.028754530966033323,597.9570922851562
19.png,4.15361967,2638258,1737594,0.3186982189264036,0.8424839174168419,696,1463895,1.59856652179745,4.096833932555658,3.456998463948838,17.37730841454057,696,161.60704040527344,39.01378631591797,51.017738342285156,75.691162109375,0.0375439047160212,286.97235107421875
